Month/Year,Nepali R/ 1 USD
1,130.451
2,132.454
3,132.106
4,131.266
5,131.737
6,131.138
7,131.41
8,133.04
9,133.273
10,133.182
11,133.367
12,132.866
13,132.655
14,132.883
15,132.717
16,133.926
17,133.318
18,133.676
19,133.963
20,134.37
21,133.836
22,134.525
23,135.187
24,135.784
